Ente;Exercicio;Funcao;Referencia;PercentualLRF;IndicadorEducacaoApurado;DespesaEducacaoApurado
RIO DAS OSTRAS;2025;Educação;;20.74;;
ITATIAIA;2025;Educação;;29.3;;
NOVA IGUACU;2025;Educação;;18.91;;
MESQUITA;2025;Educação;;37.03;;
SAO FIDELIS;2025;Educação;;33.4;;
ITALVA;2025;Educação;;24.44;;
CAMBUCI;2025;Educação;;30.5;;
SEROPEDICA;2025;Educação;;30.42;;
APERIBE;2025;Educação;;27.12;;
TRES RIOS;2025;Educação;;21.69;;
RIO BONITO;2025;Educação;;-16.03;;
CASIMIRO DE ABREU;2025;Educação;;26.92;;
COMENDADOR LEVY GASPARIAN;2025;Educação;;18.99;;
SAQUAREMA;2025;Educação;;28.08;;
MACAE;2025;Educação;;23.59;;
CANTAGALO;2025;Educação;;25.34;;
PARAIBA DO SUL;2025;Educação;;21.6;;
SAO JOAO DA BARRA;2025;Educação;;24.97;;
BOM JESUS DO ITABAPOANA;2025;Educação;;27.5;;
ITAGUAI;2025;Educação;;22.14;;
PARACAMBI;2025;Educação;;21.37;;
VARRE-SAI;2025;Educação;;26.0;;
VASSOURAS;2025;Educação;;28.68;;
SUMIDOURO;2025;Educação;;36.18;;
NATIVIDADE;2025;Educação;;33.46;;
ARARUAMA;2025;Educação;;27.68;;
SAO JOSE DE UBA;2025;Educação;;26.69;;
CAMPOS DOS GOYTACAZES;2025;Educação;;17.65;;
PATY DO ALFERES;2025;Educação;;22.01;;
ENGENHEIRO PAULO DE FRONTIN;2025;Educação;;28.05;;
MANGARATIBA;2025;Educação;;23.45;;
PINHEIRAL;2025;Educação;;23.44;;
SAO PEDRO DA ALDEIA;2025;Educação;;21.62;;
NOVA FRIBURGO;2025;Educação;;23.46;;
BELFORD ROXO;2025;Educação;;-9.35;;
ITAOCARA;2025;Educação;;29.0;;
CACHOEIRAS DE MACACU;2025;Educação;;29.53;;
TANGUA;2025;Educação;;25.63;;
SANTO ANTONIO DE PADUA;2025;Educação;;26.27;;
TRAJANO DE MORAIS;2025;Educação;;31.52;;
BARRA DO PIRAI;2025;Educação;;28.52;;
SAO FRANCISCO DE ITABAPOANA;2025;Educação;;24.3;;
RIO DAS FLORES;2025;Educação;;35.26;;
DUQUE DE CAXIAS;2025;Educação;;26.42;;
NITEROI;2025;Educação;;22.41;;
QUEIMADOS;2025;Educação;;26.97;;
SAPUCAIA;2025;Educação;;25.86;;
JAPERI;2025;Educação;;18.56;;
MENDES;2025;Educação;;32.15;;
CORDEIRO;2025;Educação;;25.29;;
PIRAI;2025;Educação;;34.43;;
SAO GONCALO;2025;Educação;;26.28;;
ARMACAO DOS BUZIOS;2025;Educação;;21.64;;
QUISSAMA;2025;Educação;;31.86;;
CABO FRIO;2025;Educação;;15.97;;
LAJE DO MURIAE;2025;Educação;;30.03;;
VOLTA REDONDA;2025;Educação;;13.17;;
NILOPOLIS;2025;Educação;;23.15;;
VALENCA;2025;Educação;;18.07;;
ITABORAI;2025;Educação;;22.4;;
BOM JARDIM;2025;Educação;;27.32;;
RIO CLARO;2025;Educação;;22.54;;
MIRACEMA;2025;Educação;;23.53;;
MACUCO;2025;Educação;;25.06;;
GUAPIMIRIM;2025;Educação;;25.99;;
ANGRA DOS REIS;2025;Educação;;23.59;;
SILVA JARDIM;2025;Educação;;25.17;;
CONCEICAO DE MACABU;2025;Educação;;31.6;;
MAGE;2025;Educação;;4.52;;
IGUABA GRANDE;2025;Educação;;23.08;;
AREAL;2025;Educação;;23.04;;
CARDOSO MOREIRA;2025;Educação;;25.83;;
SAO JOAO DE MERITI;2025;Educação;;7.46;;
RESENDE;2025;Educação;;27.69;;
CARMO;2025;Educação;;26.41;;
PARATY;2025;Educação;;22.63;;
