Ente;Exercicio;Funcao;Referencia;PercentualLRF;IndicadorEducacaoApurado;DespesaEducacaoApurado
SEROPEDICA;2021;Educação;6º Bimestre;39.96;39.64;86631579.93
SILVA JARDIM;2021;Edu;6º Bimestre;21.07;20.7;17237772.13
SUMIDOURO;2021;Edu;6º Bimestre;24.86;25.0;14074786.24
TANGUA;2021;Edu;6º Bimestre;19.31;18.5;12056000.22
TERESOPOLIS;2021;Edu;6º Bimestre;30.53;17.77;63232649.24
TRAJANO DE MORAIS;2021;Edu;6º Bimestre;29.16;31.25;15600847.55
TRES RIOS;2021;Edu;6º Bimestre;25.86;24.77;47261103.99
VALENCA;2021;Edu;6º Bimestre;22.16;22.15;28657787.75
VARRE-SAI;2021;Edu;6º Bimestre;29.05;28.55;11114560.11
VASSOURAS;2021;Edu;6º Bimestre;27.69;26.1;22463104.03
VOLTA REDONDA;2021;Edu;6º Bimestre;4.68;12.14;77987479.18
ANGRA DOS REIS;2022;Edu;6º Bimestre;26.44;26.54;348104569.28
APERIBE;2022;Edu;6º Bimestre;30.32;28.36;12129882.09
ARARUAMA;2022;Edu;6º Bimestre;28.44;28.01;75635633.87
AREAL;2022;Edu;6º Bimestre;30.94;30.59;17737709.76
ARMACAO DOS BUZIOS;2022;Edu;6º Bimestre;30.95;30.57;59297156.33
ARRAIAL DO CABO;2022;Edu;6º Bimestre;33.39;35.05;43701569.67
BARRA DO PIRAI;2022;Edu;6º Bimestre;29.57;;
BARRA MANSA;2022;Edu;6º Bimestre;27.12;26.54;-81358274.02
BELFORD ROXO;2022;Edu;6º Bimestre;49.35;;
BOM JARDIM;2022;Edu;6º Bimestre;32.53;32.36;24807713.55
BOM JESUS DO ITABAPOANA;2022;Edu;6º Bimestre;31.74;34.52;30657673.5
CABO FRIO;2022;Edu;6º Bimestre;27.39;27.02;129702549.38
CACHOEIRAS DE MACACU;2022;Edu;6º Bimestre;38.8;38.5;50427604.02
CAMBUCI;2022;Edu;6º Bimestre;30.36;31.13;16563039.59
CAMPOS DOS GOYTACAZES;2022;Educação;6º Bimestre;37.77;35.55;301274445.64
CANTAGALO;2022;Educação;6º Bimestre;28.21;28.29;22999005.28
CARAPEBUS;2022;Educação;6º Bimestre;36.52;33.41;22219708.04
CARDOSO MOREIRA;2022;Educação;6º Bimestre;38.71;36.17;-18236456.0
CARMO;2022;Educação;6º Bimestre;32.23;32.5;21648478.32
CASIMIRO DE ABREU;2022;Educação;6º Bimestre;34.89;30.65;41664393.3
COMENDADOR LEVY GASPARIAN;2022;Educação;6º Bimestre;30.78;25.52;11244574.46
CONCEICAO DE MACABU;2022;Educação;6º Bimestre;30.48;29.1;17956442.59
CORDEIRO;2022;Educação;6º Bimestre;30.66;29.75;19393844.8
DUAS BARRAS;2022;Educação;6º Bimestre;32.19;;
DUQUE DE CAXIAS;2022;Educação;6º Bimestre;34.22;34.4;668525756.79
GUAPIMIRIM;2022;Educação;6º Bimestre;34.66;35.08;43045087.91
IGUABA GRANDE;2022;Educação;6º Bimestre;34.21;32.22;28918410.48
ITABORAI;2022;Edu;6º Bimestre;31.28;31.17;111201643.95
ITAGUAI;2022;Edu;6º Bimestre;30.27;28.33;140767623.73
ITALVA;2022;Edu;6º Bimestre;27.05;26.93;13560772.52
ITAOCARA;2022;Edu;6º Bimestre;34.48;33.03;21114649.2
ITAPERUNA;2022;Edu;6º Bimestre;32.07;29.4;60083044.4
ITATIAIA;2022;Edu;6º Bimestre;29.34;31.09;69542486.76
  JAPERI;2022;Edu;6º Bimestre;32.24;49.26;-64987219.91
LAJE DO MURIAE;2022;Edu;6º Bimestre;33.78;33.35;11787067.07
MACAE;2022;Edu;6º Bimestre;32.24;31.05;439388517.3
MACUCO;2022;Edu;6º Bimestre;30.15;30.98;12286266.39
MAGE;2022;Edu;6º Bimestre;38.57;30.46;78650616.66
MANGARATIBA   ;2022;Educação;6º Bimestre;26.16;25.55;68535061.02
MARICA;2022;Educação;6º Bimestre;28.58;28.7;311196180.8
MENDES;2022;Educação;6º Bimestre;34.77;30.8;17755848.68
MESQUITA;2022;Educação;6º Bimestre;47.31;39.3;85195594.29
MIGUEL PEREIRA;2022;Educação;6º Bimestre;29.44;28.22;23911538.47
MIRACEMA  ;2022;Educação;6º Bimestre;32.09;-30.17;21062927.17
NATIVIDADE;2022;Educação;6º Bimestre;31.31;-31.16;16319459.0
NILOPOLIS;2022;Educação;6º Bimestre;29.35;29.16;65007239.43
NITEROI;2022;Educação;6º Bimestre;29.37;29.19;612800697.04
NOVA FRIBURGO;2022;Educação;6º Bimestre;28.56;28.49;113089550.87
NOVA IGUACU;2022;Educação;6º Bimestre;26.74;;
PARACAMBI;2022;Educação;6º Bimestre;30.81;28.66;29415258.03
PARAIBA DO SUL;2022;Educação;6º Bimestre;38.31;32.38;35004869.74
PARATY;2022;Educação;6º Bimestre;31.51;28.25;50020645.39
PATY DO ALFERES;2022;Educação;6º Bimestre;31.19;29.89;22468652.78
PETROPOLIS;2022;Educação;6º Bimestre;29.24;28.25;231970341.62
PINHEIRAL;2022;Educação;6º Bimestre;30.71;28.55;18192485.05
PIRAI;2022;Educação;6º Bimestre;31.29;-30.39;51602541.47
PORCIUNCULA;2022;Educação;6º Bimestre;27.41;27.25;15549736.65
PORTO REAL;2022;Educação;6º Bimestre;29.27;27.72;38596105.67
QUATIS;2022;Educação;6º Bimestre;44.61;43.76;21936220.67
QUEIMADOS;2022;Educação;6º Bimestre;33.36;33.31;73777212.95
